"county","region","year","quarter","month","yearandmonth","homicide_conv","offences_against_the_person_conv","sexual_offences_conv","burglary_conv","robbery_conv","theft_and_handling_conv","fraud_and_forgery_conv","criminal_damage_conv","drugs_offences_conv","public_order_offences_conv","all_other_offences__excluding_motoring__conv","motoring_offences_conv"
"Bedfordshire","East","2016","Q2 2016","may",2016-05-01,1,83,7,5,4,62,5,11,23,31,3,86
"Cambridgeshire","East","2016","Q2 2016","may",2016-05-01,1,103,11,7,0,71,7,18,35,28,12,80
"Cheshire","North","2016","Q2 2016","may",2016-05-01,2,254,22,24,7,155,14,35,89,83,13,176
"Cleveland","North","2016","Q2 2016","may",2016-05-01,0,127,4,39,4,203,10,23,46,46,6,65
"Cumbria","North","2016","Q2 2016","may",2016-05-01,0,103,6,8,5,101,1,27,37,36,8,76
"Derbyshire","East","2016","Q2 2016","may",2016-05-01,1,188,6,9,8,135,12,57,72,54,16,115
"Devon and Cornwall","West","2016","Q2 2016","may",2016-05-01,5,199,24,18,4,98,18,36,59,64,5,187
"Dorset","West","2016","Q2 2016","may",2016-05-01,1,136,7,12,0,103,5,23,49,45,6,81
"Durham","North","2016","Q2 2016","may",2016-05-01,0,102,5,23,1,104,8,35,19,44,7,113
"Dyfed Powys","West","2016","Q2 2016","may",2016-05-01,1,62,5,4,0,34,10,7,63,20,6,93
"Essex","East","2016","Q2 2016","may",2016-05-01,5,246,40,33,6,172,20,55,75,73,12,184
"Gloucestershire","West","2016","Q2 2016","may",2016-05-01,1,88,4,10,0,57,6,17,19,15,1,57
"GreaterManchester","North","2016","Q2 2016","may",2016-05-01,4,590,97,61,19,321,38,95,140,182,34,314
"Gwent","West","2016","Q2 2016","may",2016-05-01,0,75,9,8,1,73,2,23,45,21,6,89
"Hampshire","South","2016","Q2 2016","may",2016-05-01,3,250,36,30,6,203,23,35,65,59,21,223
"Hertfordshire","East","2016","Q2 2016","may",2016-05-01,1,172,9,21,3,155,34,21,72,31,18,131
"Humberside","North","2016","Q2 2016","may",2016-05-01,0,150,28,37,5,179,9,38,48,89,9,99
"Kent","South","2016","Q2 2016","may",2016-05-01,7,247,23,38,13,154,25,29,93,62,25,195
"Lancashire","North","2016","Q2 2016","may",2016-05-01,6,255,28,33,6,257,20,62,86,149,29,249
"Leicestershire","East","2016","Q2 2016","may",2016-05-01,6,148,32,18,1,113,8,33,39,34,7,123
"Lincolnshire","East","2016","Q2 2016","may",2016-05-01,1,160,4,20,0,136,5,26,28,48,14,131
"Merseyside","North","2016","Q2 2016","may",2016-05-01,3,301,26,18,14,192,14,42,186,87,18,203
"Metropolitan and City","South","2016","Q2 2016","may",2016-05-01,27,1704,129,188,96,1027,242,248,1082,502,150,1081
"Norfolk","East","2016","Q2 2016","may",2016-05-01,5,192,9,14,0,110,4,36,41,63,9,87
"Northamptonshire","East","2016","Q2 2016","may",2016-05-01,0,134,3,6,7,92,11,17,37,26,6,108
"Northumbria","North","2016","Q2 2016","may",2016-05-01,1,296,48,34,5,384,31,85,93,190,31,235
"North Wales","North","2016","Q2 2016","may",2016-05-01,0,158,20,14,1,116,9,39,34,47,6,110
"North Yorkshire","Nortth","2016","Q2 2016","may",2016-05-01,2,124,8,16,5,126,13,26,36,64,10,110
"Nottinghamshire","East","2016","Q2 2016","may",2016-05-01,6,281,28,34,6,234,14,44,107,85,13,161
"South Wales","West","2016","Q2 2016","may",2016-05-01,2,334,16,30,5,241,30,75,134,120,15,260
"South Yorkshire","North","2016","Q2 2016","may",2016-05-01,4,202,8,34,10,255,16,64,97,95,15,163
"Staffordshire","West","2016","Q2 2016","may",2016-05-01,1,216,18,14,3,146,11,58,72,72,20,172
"Suffolk","East","2016","Q2 2016","may",2016-05-01,0,117,5,12,7,62,1,30,36,32,4,98
"Surrey","South","2016","Q2 2016","may",2016-05-01,0,127,7,16,3,72,10,24,38,40,12,108
"Sussex","South","2016","Q2 2016","may",2016-05-01,0,239,24,41,8,165,21,37,67,63,10,177
"Thames Valley","South","2016","Q2 2016","may",2016-05-01,8,396,45,50,17,303,32,54,149,115,37,242
"Warwickshire","West","2016","Q2 2016","may",2016-05-01,6,91,10,13,1,59,7,12,12,14,1,81
"West Mercia","West","2016","Q2 2016","may",2016-05-01,2,200,31,21,3,164,15,38,71,66,12,191
"West Midlands","West","2016","Q2 2016","may",2016-05-01,10,627,74,56,44,607,85,90,246,263,61,358
"West Yorkshire","North","2016","Q2 2016","may",2016-05-01,6,446,83,78,30,329,38,113,167,163,44,333
"Wiltshire","West","2016","Q2 2016","may",2016-05-01,0,99,10,9,6,73,6,23,22,20,10,66
"National","All","2016","Q2 2016","jun",2016-06-01,112,11080,1091,1152,398,7790,939,2061,4173,3508,793,7729
"Avon and Somerset","West","2016","Q2 2016","jun",2016-06-01,3,301,61,27,4,240,11,56,111,75,9,203
"Bedfordshire","East","2016","Q2 2016","jun",2016-06-01,4,99,3,12,12,71,7,23,38,23,5,94
"Cambridgeshire","East","2016","Q2 2016","jun",2016-06-01,0,158,16,8,13,99,10,39,28,34,11,98
"Cheshire","North","2016","Q2 2016","jun",2016-06-01,1,258,23,15,5,169,14,39,85,100,10,191
"Cleveland","North","2016","Q2 2016","jun",2016-06-01,7,126,9,26,29,228,11,31,67,43,12,89
"Cumbria","North","2016","Q2 2016","jun",2016-06-01,0,125,4,17,0,87,10,26,37,57,9,83
"Derbyshire","East","2016","Q2 2016","jun",2016-06-01,1,216,5,17,9,130,9,40,51,85,22,143
"Devon and Cornwall","West","2016","Q2 2016","jun",2016-06-01,7,234,17,16,6,108,14,43,63,59,5,208
"Dorset","West","2016","Q2 2016","jun",2016-06-01,1,145,6,12,2,92,10,26,47,33,7,89
"Durham","North","2016","Q2 2016","jun",2016-06-01,0,112,7,20,4,134,11,32,15,30,4,95
"Dyfed Powys","West","2016","Q2 2016","jun",2016-06-01,0,75,9,8,2,30,12,18,62,27,6,93
"Essex","East","2016","Q2 2016","jun",2016-06-01,2,334,37,31,6,187,18,70,73,53,17,226
"Gloucestershire","West","2016","Q2 2016","jun",2016-06-01,2,86,9,21,1,50,5,11,25,21,6,63
"GreaterManchester","North","2016","Q2 2016","jun",2016-06-01,4,574,87,88,22,271,23,88,102,153,37,345
"Gwent","West","2016","Q2 2016","jun",2016-06-01,0,101,11,11,1,77,15,30,47,30,5,92
"Hampshire","South","2016","Q2 2016","jun",2016-06-01,2,288,38,29,7,165,33,42,86,68,18,244
"Hertfordshire","East","2016","Q2 2016","jun",2016-06-01,2,171,7,16,5,159,40,29,84,45,9,123
"Humberside","North","2016","Q2 2016","jun",2016-06-01,1,175,30,22,8,151,7,55,57,66,13,119
"Kent","South","2016","Q2 2016","jun",2016-06-01,3,250,25,31,6,157,42,44,105,47,15,212
"Lancashire","North","2016","Q2 2016","jun",2016-06-01,2,311,26,39,13,233,17,53,107,130,25,240
"Leicestershire","East","2016","Q2 2016","jun",2016-06-01,1,136,21,8,2,88,15,27,27,39,8,118
"Lincolnshire","East","2016","Q2 2016","jun",2016-06-01,1,112,9,17,6,112,7,43,38,56,18,155
"Merseyside","North","2016","Q2 2016","jun",2016-06-01,3,345,38,34,8,182,23,67,205,99,26,194
"Metropolitan and City","South","2016","Q2 2016","jun",2016-06-01,26,1827,169,205,84,1087,263,265,1156,494,135,1010
"Norfolk","East","2016","Q2 2016","jun",2016-06-01,0,186,11,17,0,136,8,44,38,70,11,120
"Northamptonshire","East","2016","Q2 2016","jun",2016-06-01,3,115,4,7,1,89,6,24,35,30,11,128
"Northumbria","North","2016","Q2 2016","jun",2016-06-01,1,337,55,49,9,355,23,81,89,192,22,254
"North Wales","North","2016","Q2 2016","jun",2016-06-01,0,150,22,26,2,110,7,29,47,94,10,134
"North Yorkshire","Nortth","2016","Q2 2016","jun",2016-06-01,0,118,5,15,1,135,8,31,39,40,9,134
"Nottinghamshire","East","2016","Q2 2016","jun",2016-06-01,1,280,33,19,17,266,15,51,109,87,18,165
"South Wales","West","2016","Q2 2016","jun",2016-06-01,3,356,26,25,11,223,30,66,112,126,21,216
"South Yorkshire","North","2016","Q2 2016","jun",2016-06-01,3,222,10,20,1,250,13,60,98,102,26,175
"Staffordshire","West","2016","Q2 2016","jun",2016-06-01,3,227,28,14,5,147,11,54,88,74,23,172
"Suffolk","East","2016","Q2 2016","jun",2016-06-01,0,128,2,14,2,54,8,27,34,33,7,108
"Surrey","South","2016","Q2 2016","jun",2016-06-01,0,159,5,17,2,47,8,17,32,29,11,102
"Sussex","South","2016","Q2 2016","jun",2016-06-01,0,230,33,26,8,147,12,41,58,71,26,192
"Thames Valley","South","2016","Q2 2016","jun",2016-06-01,5,369,40,14,14,227,30,53,105,92,24,254
"Warwickshire","West","2016","Q2 2016","jun",2016-06-01,4,83,9,10,1,78,4,11,16,23,2,106
"West Mercia","West","2016","Q2 2016","jun",2016-06-01,2,220,22,19,8,148,21,30,59,57,16,221
"West Midlands","West","2016","Q2 2016","jun",2016-06-01,10,773,62,61,37,683,72,112,294,317,71,401
"West Yorkshire","North","2016","Q2 2016","jun",2016-06-01,2,452,47,61,20,296,28,112,175,168,43,243
"Wiltshire","West","2016","Q2 2016","jun",2016-06-01,2,116,10,8,4,92,8,21,29,36,10,77
"National","All","2016","Q3 2016","jul",2016-07-01,101,10394,1084,1159,348,7156,961,1831,4123,3245,697,7150
"Avon and Somerset","West","2016","Q3 2016","jul",2016-07-01,3,305,48,35,7,186,13,51,98,73,8,203
"Bedfordshire","East","2016","Q3 2016","jul",2016-07-01,3,83,7,22,3,41,6,16,31,16,4,76
"Cambridgeshire","East","2016","Q3 2016","jul",2016-07-01,0,138,10,15,4,85,3,29,36,28,7,84
"Cheshire","North","2016","Q3 2016","jul",2016-07-01,2,275,21,14,1,151,15,40,101,95,14,201
"Cleveland","North","2016","Q3 2016","jul",2016-07-01,1,148,11,39,5,210,11,40,75,46,14,85
"Cumbria","North","2016","Q3 2016","jul",2016-07-01,0,96,5,9,1,64,7,25,34,25,4,74
"Derbyshire","East","2016","Q3 2016","jul",2016-07-01,0,178,4,14,7,117,12,45,48,49,12,116
"Devon and Cornwall","West","2016","Q3 2016","jul",2016-07-01,2,221,16,20,4,112,18,37,52,51,5,189
"Dorset","West","2016","Q3 2016","jul",2016-07-01,1,130,10,9,0,77,8,24,42,48,6,66
"Durham","North","2016","Q3 2016","jul",2016-07-01,0,104,6,15,3,87,12,21,18,23,11,104
"Dyfed Powys","West","2016","Q3 2016","jul",2016-07-01,0,65,5,4,0,31,3,15,36,34,2,77
"Essex","East","2016","Q3 2016","jul",2016-07-01,7,303,45,31,11,157,26,41,77,54,10,195
"Gloucestershire","West","2016","Q3 2016","jul",2016-07-01,1,86,1,16,4,48,9,12,35,25,2,57
"GreaterManchester","North","2016","Q3 2016","jul",2016-07-01,3,566,92,58,19,248,41,80,127,162,52,325
"Gwent","West","2016","Q3 2016","jul",2016-07-01,1,81,7,10,5,79,6,18,33,35,3,92
"Hampshire","South","2016","Q3 2016","jul",2016-07-01,2,270,30,31,6,176,33,43,65,63,14,190
"Hertfordshire","East","2016","Q3 2016","jul",2016-07-01,1,181,15,22,2,145,31,34,80,40,8,133
"Humberside","North","2016","Q3 2016","jul",2016-07-01,1,160,28,32,6,140,7,48,51,63,9,115
"Kent","South","2016","Q3 2016","jul",2016-07-01,8,266,20,32,8,172,39,40,90,45,28,165
"Lancashire","North","2016","Q3 2016","jul",2016-07-01,2,230,18,40,12,186,30,53,76,99,18,201
"Leicestershire","East","2016","Q3 2016","jul",2016-07-01,1,135,26,19,2,104,11,31,36,55,8,119
"Lincolnshire","East","2016","Q3 2016","jul",2016-07-01,0,136,4,12,2,97,9,31,37,52,18,134
"Merseyside","North","2016","Q3 2016","jul",2016-07-01,1,325,30,22,10,200,25,41,164,96,18,212
"Metropolitan and City","South","2016","Q3 2016","jul",2016-07-01,21,1804,143,195,92,1022,283,240,1075,518,106,919
"Norfolk","East","2016","Q3 2016","jul",2016-07-01,0,154,13,20,6,116,9,40,44,69,16,98
"Northamptonshire","East","2016","Q3 2016","jul",2016-07-01,0,122,7,6,1,90,4,20,33,24,11,111
"Northumbria","North","2016","Q3 2016","jul",2016-07-01,6,295,41,52,2,304,24,77,98,158,20,198
"North Wales","North","2016","Q3 2016","jul",2016-07-01,1,144,24,19,0,112,12,29,42,45,9,121
"North Yorkshire","Nortth","2016","Q3 2016","jul",2016-07-01,2,101,10,18,2,114,4,28,63,62,12,98
"Nottinghamshire","East","2016","Q3 2016","jul",2016-07-01,5,225,37,23,16,189,22,46,132,55,15,175
"South Wales","West","2016","Q3 2016","jul",2016-07-01,3,332,28,36,9,252,19,59,201,129,19,268
"South Yorkshire","North","2016","Q3 2016","jul",2016-07-01,4,213,13,25,13,226,23,60,127,87,18,174
"Staffordshire","West","2016","Q3 2016","jul",2016-07-01,1,215,23,30,5,147,6,48,65,94,13,162
"Suffolk","East","2016","Q3 2016","jul",2016-07-01,1,114,7,3,2,67,9,25,39,38,6,94
"Surrey","South","2016","Q3 2016","jul",2016-07-01,1,115,27,9,6,50,5,17,37,23,1,123
"Sussex","South","2016","Q3 2016","jul",2016-07-01,1,224,21,18,3,146,16,38,90,56,12,184
"Thames Valley","South","2016","Q3 2016","jul",2016-07-01,2,351,40,23,7,210,24,40,124,90,22,228
"Warwickshire","West","2016","Q3 2016","jul",2016-07-01,1,60,8,9,2,47,11,8,19,23,5,94
"West Mercia","West","2016","Q3 2016","jul",2016-07-01,0,199,19,18,1,167,11,35,82,68,13,182
"West Midlands","West","2016","Q3 2016","jul",2016-07-01,5,655,83,67,39,548,67,96,243,249,75,349
"West Yorkshire","North","2016","Q3 2016","jul",2016-07-01,7,475,65,56,19,345,27,89,131,135,46,298
"Wiltshire","West","2016","Q3 2016","jul",2016-07-01,0,114,16,11,1,91,10,21,36,45,3,61
"National","All","2016","Q3 2016","aug",2016-08-01,63,10343,1088,1086,367,7147,832,1955,4006,3463,707,7192
"Avon and Somerset","West","2016","Q3 2016","aug",2016-08-01,0,272,49,46,6,154,16,58,78,84,8,141
"Bedfordshire","East","2016","Q3 2016","aug",2016-08-01,0,99,6,7,10,60,4,13,33,24,7,83
"Cambridgeshire","East","2016","Q3 2016","aug",2016-08-01,1,125,7,7,4,95,15,21,38,34,6,73
"Cheshire","North","2016","Q3 2016","aug",2016-08-01,2,264,23,18,1,173,17,51,74,108,16,208
"Cleveland","North","2016","Q3 2016","aug",2016-08-01,0,116,8,38,4,200,6,28,81,47,9,65
"Cumbria","North","2016","Q3 2016","aug",2016-08-01,1,102,11,8,0,98,5,24,33,48,4,83
"Derbyshire","East","2016","Q3 2016","aug",2016-08-01,1,152,4,10,7,113,7,24,55,64,17,118
"Devon and Cornwall","West","2016","Q3 2016","aug",2016-08-01,0,215,21,21,10,110,21,50,67,61,10,171
"Dorset","West","2016","Q3 2016","aug",2016-08-01,4,134,12,16,4,90,2,23,43,40,8,106
"Durham","North","2016","Q3 2016","aug",2016-08-01,0,91,6,8,5,121,19,23,19,35,8,70
"Dyfed Powys","West","2016","Q3 2016","aug",2016-08-01,0,83,7,4,4,32,7,26,59,22,7,70
"Essex","East","2016","Q3 2016","aug",2016-08-01,4,272,37,17,11,165,15,59,118,68,10,206
"Gloucestershire","West","2016","Q3 2016","aug",2016-08-01,0,74,3,11,0,48,6,17,27,30,5,67
"GreaterManchester","North","2016","Q3 2016","aug",2016-08-01,3,521,81,61,10,270,23,93,109,154,33,348
"Gwent","West","2016","Q3 2016","aug",2016-08-01,1,112,6,9,5,74,6,25,41,20,2,75
"Hampshire","South","2016","Q3 2016","aug",2016-08-01,4,236,39,28,8,172,21,46,68,88,11,196
"Hertfordshire","East","2016","Q3 2016","aug",2016-08-01,0,187,17,10,6,161,23,30,91,54,11,112
"Humberside","North","2016","Q3 2016","aug",2016-08-01,2,155,23,17,11,154,8,46,65,82,7,111
"Kent","South","2016","Q3 2016","aug",2016-08-01,4,265,25,22,12,136,33,34,98,64,25,163
"Lancashire","North","2016","Q3 2016","aug",2016-08-01,2,260,16,43,5,223,19,43,74,127,18,208
"Leicestershire","East","2016","Q3 2016","aug",2016-08-01,2,143,14,11,2,109,5,35,26,32,9,112
"Lincolnshire","East","2016","Q3 2016","aug",2016-08-01,2,160,7,27,1,118,9,28,25,75,20,136
"Merseyside","North","2016","Q3 2016","aug",2016-08-01,0,301,36,23,13,208,21,74,199,100,28,270
"Metropolitan and City","South","2016","Q3 2016","aug",2016-08-01,13,1697,131,179,84,1045,235,244,1029,491,129,973
"Norfolk","East","2016","Q3 2016","aug",2016-08-01,0,201,23,14,1,135,8,38,68,91,18,120
"Northamptonshire","East","2016","Q3 2016","aug",2016-08-01,3,109,7,16,1,64,6,18,25,29,5,88
"Northumbria","North","2016","Q3 2016","aug",2016-08-01,1,287,50,49,6,236,31,66,52,139,19,217
"North Wales","North","2016","Q3 2016","aug",2016-08-01,0,153,20,17,3,109,14,54,35,63,6,107
"North Yorkshire","Nortth","2016","Q3 2016","aug",2016-08-01,0,139,8,16,3,108,7,33,37,58,11,122
"Nottinghamshire","East","2016","Q3 2016","aug",2016-08-01,0,229,54,16,14,136,11,52,115,82,12,167
"South Wales","West","2016","Q3 2016","aug",2016-08-01,3,389,33,40,15,222,18,84,150,121,18,245
"South Yorkshire","North","2016","Q3 2016","aug",2016-08-01,0,211,8,26,8,257,9,65,78,97,15,186
"Staffordshire","West","2016","Q3 2016","aug",2016-08-01,3,246,20,31,16,153,9,46,69,61,21,167
"Suffolk","East","2016","Q3 2016","aug",2016-08-01,0,124,4,13,2,58,4,28,28,38,5,77
"Surrey","South","2016","Q3 2016","aug",2016-08-01,0,118,22,10,2,35,5,12,34,29,2,104
"Sussex","South","2016","Q3 2016","aug",2016-08-01,0,241,25,12,3,128,17,31,111,60,16,190
"Thames Valley","South","2016","Q3 2016","aug",2016-08-01,2,353,54,38,10,197,37,48,115,118,30,274
"Warwickshire","West","2016","Q3 2016","aug",2016-08-01,0,87,5,5,2,66,4,18,25,23,4,88
"West Mercia","West","2016","Q3 2016","aug",2016-08-01,4,213,33,24,7,176,5,37,74,68,11,209
"West Midlands","West","2016","Q3 2016","aug",2016-08-01,1,655,61,59,39,587,61,109,245,255,66,337
"West Yorkshire","North","2016","Q3 2016","aug",2016-08-01,0,452,61,54,11,282,34,81,156,133,34,262
"Wiltshire","West","2016","Q3 2016","aug",2016-08-01,0,100,11,5,1,69,9,20,39,46,6,67
"National","All","2016","Q3 2016","sep",2016-09-01,73,10720,1118,1265,376,7047,887,1995,3964,3443,771,7341
"Avon and Somerset","West","2016","Q3 2016","sep",2016-09-01,2,316,53,32,4,213,18,60,91,89,15,221
"Bedfordshire","East","2016","Q3 2016","sep",2016-09-01,3,67,11,16,7,55,2,15,33,28,7,86
"Cambridgeshire","East","2016","Q3 2016","sep",2016-09-01,0,144,9,8,0,96,5,21,24,36,6,71
"Cheshire","North","2016","Q3 2016","sep",2016-09-01,0,272,18,17,4,168,14,39,75,88,13,184
"Cleveland","North","2016","Q3 2016","sep",2016-09-01,0,131,10,45,3,176,8,48,68,62,10,88
"Cumbria","North","2016","Q3 2016","sep",2016-09-01,1,101,4,11,0,84,8,23,49,33,5,79
"Derbyshire","East","2016","Q3 2016","sep",2016-09-01,3,164,9,15,8,125,6,30,43,54,15,93
"Devon and Cornwall","West","2016","Q3 2016","sep",2016-09-01,0,212,20,24,6,95,12,28,62,63,5,203
"Dorset","West","2016","Q3 2016","sep",2016-09-01,0,156,16,11,0,85,8,38,49,55,8,97
"Durham","North","2016","Q3 2016","sep",2016-09-01,1,107,5,12,3,82,2,19,15,31,8,95
"Dyfed Powys","West","2016","Q3 2016","sep",2016-09-01,2,85,5,3,1,40,9,11,51,34,7,88
"Essex","East","2016","Q3 2016","sep",2016-09-01,1,258,50,26,6,133,20,48,91,50,12,181
"Gloucestershire","West","2016","Q3 2016","sep",2016-09-01,0,75,1,7,0,54,8,16,26,18,2,59
"GreaterManchester","North","2016","Q3 2016","sep",2016-09-01,4,619,92,84,24,254,29,105,94,151,42,330
"Gwent","West","2016","Q3 2016","sep",2016-09-01,0,79,6,10,3,80,5,24,46,29,6,83
"Hampshire","South","2016","Q3 2016","sep",2016-09-01,2,260,42,20,6,179,17,40,69,84,26,204
"Hertfordshire","East","2016","Q3 2016","sep",2016-09-01,1,176,10,23,6,145,24,30,83,30,17,124
"Humberside","North","2016","Q3 2016","sep",2016-09-01,0,215,29,28,10,167,13,56,54,76,6,114
"Kent","South","2016","Q3 2016","sep",2016-09-01,8,261,17,24,13,140,45,50,89,90,29,163
"Lancashire","North","2016","Q3 2016","sep",2016-09-01,4,234,24,57,5,206,25,65,70,93,28,193
"Leicestershire","East","2016","Q3 2016","sep",2016-09-01,4,165,32,14,11,112,11,36,22,51,8,102
"Lincolnshire","East","2016","Q3 2016","sep",2016-09-01,0,160,1,22,0,62,6,27,31,59,16,138
"Merseyside","North","2016","Q3 2016","sep",2016-09-01,1,359,30,23,13,188,16,49,179,99,25,261
"Metropolitan and City","South","2016","Q3 2016","sep",2016-09-01,9,1732,181,217,100,924,255,265,1155,520,145,992
"Norfolk","East","2016","Q3 2016","sep",2016-09-01,3,152,10,12,1,101,10,37,65,88,15,105
"Northamptonshire","East","2016","Q3 2016","sep",2016-09-01,0,95,5,11,6,55,4,28,20,27,6,96
"Northumbria","North","2016","Q3 2016","sep",2016-09-01,1,279,34,65,8,226,19,82,57,131,12,251
"North Wales","North","2016","Q3 2016","sep",2016-09-01,0,184,19,14,4,113,14,38,51,61,14,115
"North Yorkshire","Nortth","2016","Q3 2016","sep",2016-09-01,1,134,4,18,1,111,15,18,48,66,14,123
"Nottinghamshire","East","2016","Q3 2016","sep",2016-09-01,2,249,42,22,3,166,10,51,97,71,6,164
"South Wales","West","2016","Q3 2016","sep",2016-09-01,4,390,27,54,9,221,20,59,143,108,22,228
"South Yorkshire","North","2016","Q3 2016","sep",2016-09-01,0,218,5,27,9,241,9,60,75,95,11,187
"Staffordshire","West","2016","Q3 2016","sep",2016-09-01,1,233,23,23,4,169,15,51,57,68,17,134
"Suffolk","East","2016","Q3 2016","sep",2016-09-01,0,115,6,7,2,80,16,25,38,32,8,100
"Surrey","South","2016","Q3 2016","sep",2016-09-01,0,132,15,17,1,39,23,21,54,34,4,109
"Sussex","South","2016","Q3 2016","sep",2016-09-01,1,246,28,16,7,152,14,40,86,65,11,186
"Thames Valley","South","2016","Q3 2016","sep",2016-09-01,1,351,42,30,17,263,29,51,125,100,18,286
"Warwickshire","West","2016","Q3 2016","sep",2016-09-01,0,76,12,8,4,58,8,11,14,29,6,84
"West Mercia","West","2016","Q3 2016","sep",2016-09-01,1,218,29,14,5,177,15,38,73,100,20,207
"West Midlands","West","2016","Q3 2016","sep",2016-09-01,8,730,60,88,41,628,61,121,217,252,77,353
"West Yorkshire","North","2016","Q3 2016","sep",2016-09-01,3,459,69,76,18,300,32,96,142,152,39,306
"Wiltshire","West","2016","Q3 2016","sep",2016-09-01,1,111,13,14,3,84,7,25,33,41,10,58
"National","All","2016","Q4 2016","oct",2016-10-01,92,10314,1039,1227,363,7089,922,1886,3876,3184,728,7091
"Avon and Somerset","West","2016","Q4 2016","oct",2016-10-01,3,312,43,42,5,405,22,73,113,137,14,216
"Bedfordshire","East","2016","Q4 2016","oct",2016-10-01,0,74,6,9,6,74,7,15,27,16,6,84
"Cambridgeshire","East","2016","Q4 2016","oct",2016-10-01,3,131,10,21,6,96,8,26,32,32,8,86
"Cheshire","North","2016","Q4 2016","oct",2016-10-01,2,265,21,29,1,146,8,51,82,94,16,210
"Cleveland","North","2016","Q4 2016","oct",2016-10-01,0,128,5,32,1,193,16,28,51,47,10,86
"Cumbria","North","2016","Q4 2016","oct",2016-10-01,0,87,1,10,0,94,10,19,24,37,8,62
"Derbyshire","East","2016","Q4 2016","oct",2016-10-01,0,171,8,16,5,113,13,39,47,73,12,103
"Devon and Cornwall","West","2016","Q4 2016","oct",2016-10-01,1,191,15,35,5,106,13,27,59,52,6,163
"Dorset","West","2016","Q4 2016","oct",2016-10-01,4,141,7,14,2,77,7,29,29,53,6,68
"Durham","North","2016","Q4 2016","oct",2016-10-01,1,111,4,14,3,85,3,22,18,24,7,78
"Dyfed Powys","West","2016","Q4 2016","oct",2016-10-01,1,69,3,11,1,35,4,16,48,26,4,58
"Essex","East","2016","Q4 2016","oct",2016-10-01,1,292,49,26,11,151,20,46,75,46,14,176
"Gloucestershire","West","2016","Q4 2016","oct",2016-10-01,0,66,5,6,0,55,7,15,18,13,4,67
"GreaterManchester","North","2016","Q4 2016","oct",2016-10-01,4,561,73,59,27,225,25,91,108,149,45,360
"Gwent","West","2016","Q4 2016","oct",2016-10-01,2,104,7,14,1,81,6,18,31,24,6,83
"Hampshire","South","2016","Q4 2016","oct",2016-10-01,3,289,39,27,4,191,31,32,63,58,21,178
"Hertfordshire","East","2016","Q4 2016","oct",2016-10-01,1,180,16,24,5,166,20,27,83,39,12,164
"Humberside","North","2016","Q4 2016","oct",2016-10-01,3,215,14,27,12,132,10,32,57,68,8,112
"Kent","South","2016","Q4 2016","oct",2016-10-01,8,273,20,26,11,162,26,53,89,54,30,160
"Lancashire","North","2016","Q4 2016","oct",2016-10-01,1,224,15,47,16,196,20,44,83,100,20,189
"Leicestershire","East","2016","Q4 2016","oct",2016-10-01,1,163,30,18,7,109,17,40,42,49,6,121
"Lincolnshire","East","2016","Q4 2016","oct",2016-10-01,0,130,6,21,1,77,10,17,28,32,12,107
"Merseyside","North","2016","Q4 2016","oct",2016-10-01,2,307,39,17,3,163,20,42,182,72,31,195
"Metropolitan and City","South","2016","Q4 2016","oct",2016-10-01,19,1703,170,187,88,880,265,239,1039,463,103,964
"Norfolk","East","2016","Q4 2016","oct",2016-10-01,1,195,13,12,3,144,11,55,63,89,10,118
"Northamptonshire","East","2016","Q4 2016","oct",2016-10-01,2,112,6,11,5,72,10,28,30,28,10,97
"Northumbria","North","2016","Q4 2016","oct",2016-10-01,3,251,52,41,6,239,14,74,79,146,14,225
"North Wales","North","2016","Q4 2016","oct",2016-10-01,1,145,16,20,1,124,16,28,44,60,10,113
"North Yorkshire","Nortth","2016","Q4 2016","oct",2016-10-01,2,136,2,16,2,106,6,35,35,59,21,122
"Nottinghamshire","East","2016","Q4 2016","oct",2016-10-01,2,271,38,23,7,166,17,54,121,79,16,131
"South Wales","West","2016","Q4 2016","oct",2016-10-01,2,354,22,45,11,258,22,74,192,108,25,218
"South Yorkshire","North","2016","Q4 2016","oct",2016-10-01,2,183,2,31,12,220,11,60,83,88,8,182
"Staffordshire","West","2016","Q4 2016","oct",2016-10-01,3,208,23,17,1,146,12,62,56,62,14,132
"Suffolk","East","2016","Q4 2016","oct",2016-10-01,0,123,11,7,1,55,3,29,45,45,4,90
"Surrey","South","2016","Q4 2016","oct",2016-10-01,0,115,16,7,4,40,10,16,23,30,6,108
"Sussex","South","2016","Q4 2016","oct",2016-10-01,0,200,30,25,6,125,30,33,75,65,9,186
"Thames Valley","South","2016","Q4 2016","oct",2016-10-01,6,353,47,49,14,216,29,42,140,92,27,274
"Warwickshire","West","2016","Q4 2016","oct",2016-10-01,0,66,7,11,6,86,8,12,15,27,5,87
"West Mercia","West","2016","Q4 2016","oct",2016-10-01,2,228,30,25,7,137,7,50,59,67,11,200
"West Midlands","West","2016","Q4 2016","oct",2016-10-01,4,645,55,80,41,586,71,90,225,235,99,399
"West Yorkshire","North","2016","Q4 2016","oct",2016-10-01,2,449,56,69,15,300,47,91,134,116,23,255
"Wiltshire","West","2016","Q4 2016","oct",2016-10-01,0,93,7,6,0,57,10,12,29,30,7,64
"National","All","2016","Q4 2016","nov",2016-11-01,89,10803,1179,1197,315,7334,895,1851,4007,3245,747,7547
